City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
580,Matara,LK,73.9,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
582,Venice,US,73.99,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
584,Angoche,MZ,79.11,overcast clouds,-16.2325,39.9086,Guest House HESADA
595,Non Sung,TH,71.01,clear sky,15.1801,102.2569,บ้านของกลอยใจ
604,Foso,GH,76.28,scattered clouds,5.7012,-1.2866,Pristina Cottage
605,Salalah,OM,73.4,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
606,Harper,LR,79.5,scattered clouds,4.375,-7.7169,Screensaver
608,Miramar,US,75.2,light rain,25.9873,-80.2323,Stadium Hotel
610,Tarauaca,BR,77.54,moderate rain,-8.1614,-70.7656,Flat Temporada
615,Port Shepstone,ZA,74.35,overcast clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
616,Lahat,ID,71.89,light rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
618,Montemorelos,MX,76.48,clear sky,25.2,-99.8167,Best Western Bazarell Inn
622,Vitoria Do Mearim,BR,76.15,broken clouds,-3.4622,-44.8706,HOTEL VITÓRIA IMPORTADOS
626,Maxixe,MZ,75.9,overcast clouds,-23.8597,35.3472,Oceano
628,Diego De Almagro,CL,72.01,clear sky,-26.3667,-70.05,hotel luna del desierto
631,Carmo Do Paranaiba,BR,70.0,overcast clouds,-19.0008,-46.3161,carmo do paranaiba
635,Banda Aceh,ID,78.44,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
636,Catamarca,AR,73.0,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
640,Sonoma,US,71.01,few clouds,38.55,-122.9011,Gracianna Winery
641,Araguacu,BR,73.17,moderate rain,-12.9306,-49.8264,Hotel Tocantins
642,Flinders,AU,75.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
648,Maningrida,AU,78.69,light rain,-12.0667,134.2667,Dhukurrdji Lodge
649,Guiratinga,BR,75.61,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
650,Niamey,NE,78.8,dust,13.5137,2.1098,Soluxe Hotel Niamey
656,Pontes E Lacerda,BR,77.18,clear sky,-15.2261,-59.3353,Hotel Bressan
662,Berekum,GH,76.28,broken clouds,7.4534,-2.5839999999999996,Nyame Nnae Hotel
669,Port Hedland,AU,77.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
671,Hays,US,70.0,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
672,Fougamou,GA,74.71,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
673,Payo,ID,72.95,overcast clouds,-3.7508,103.6372,Mess keban agung
678,George Town,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
685,Iquitos,PE,78.8,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
686,Maroantsetra,MG,74.55,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
